rank,compressor,family,status,raw_bytes,compressed_bytes,ratio_percent,space_saving_percent,bits_per_byte,compress_seconds,decompress_seconds,compress_mib_per_second,decompress_mib_per_second,compress_max_rss_mib,decompress_max_rss_mib,external_dependency_bytes,total_bytes_if_dependency_counted,sha256_verified,notes
1,CMIX-AHP: preprocessing + dictionary,CMIX,ok,9999999,1624677,16.246771624677200,83.75322837532280,1.299741729974170,8575.70,8673.60,0.0011120657451156400,0.0010995137209910700,8007.015625,9831.765625,411996,2036673,yes,Online residual adaptation; dictionary must be available to the decoder. Exact producing binary is stored beside the archive.
2,Stock CMIX v21: preprocessing + dictionary,CMIX,ok,9999999,1624681,16.24681162468120,83.75318837531880,1.299744929974490,6550.370667415990,6509.8135855,0.0014559087866321100,0.0014649793093354300,10058.09375,10594.015625,411996,2036677,yes,Dictionary must be available to the decoder.
3,"Stock CMIX v21: preprocessing, no dictionary",CMIX,ok,9999999,1724704,17.24704172470420,82.75295827529580,1.3797633379763300,10800.202312417000,11006.544255250000,0.0008830151449499960,0.0008664610789021500,9945.734375,10165.109375,0,1724704,yes,
4,Stock CMIX v21: no preprocessing,CMIX,ok,9999999,1724844,17.248441724844200,82.75155827515580,1.3798753379875300,9702.584551916010,10141.053645542000,0.0009829074056875830,0.0009404094035712490,9551.484375,10123.453125,0,1724844,yes,
5,PAQ8PX v215 -9T,PAQ,ok,9999999,1746854,17.468541746854200,82.53145825314580,1.397483339748330,553.9962501249980,560.0350297910050,0.017214452639772200,0.01702883159638630,3761.0,3760.78125,549945,2296799,yes,Text pretraining files are external.
6,"PPMd-I order 16, 256 MiB",PPMd,ok,9999999,2289404,22.89404228940420,77.10595771059580,1.8315233831523400,1.3456171660072900,1.4491167499945700,7.087262596898630,6.581072374205800,236.171875,244.40625,0,2289404,yes,Includes a 9-byte parameter header.
7,Brotli quality 11,Brotli,ok,9999999,2704443,27.04443270444330,72.95556729555670,2.1635546163554600,11.465367875003700,0.0220288749987958,0.8317868483906010,432.9200747160040,172.3125,12.484375,0,2704443,yes,
8,xz/LZMA2 -9e,LZMA2,ok,9999999,2720212,27.202122720212300,72.79787727978770,2.176169817616980,2.6042297079984600,0.08479008400172460,3.662020359071120,112.47473478377700,164.28125,23.375,0,2720212,yes,
9,Zstandard --ultra -22,Zstandard,ok,9999999,2793388,27.93388279338830,72.06611720661170,2.2347106234710600,2.314285541011490,0.015508124997722900,4.120814843884840,614.9513375594070,272.609375,13.921875,0,2793388,yes,
10,bzip2 -9,BWT,ok,9999999,2916302,29.163022916302300,70.8369770836977,2.333041833304180,0.4245020829985150,0.18970870799967100,22.465713579128800,50.27045047613060,7.609375,4.734375,0,2916302,yes,
11,ZIP/Deflate -9,Deflate,ok,9999999,3685382,36.853823685382400,63.146176314617600,2.9483058948305900,0.31077816599281500,0.056484917004127100,30.686654514232100,168.8369695168600,1.875,2.484375,0,3685382,yes,Includes ZIP container and filename overhead.
12,gzip/Deflate -9,Deflate,ok,9999999,3688458,36.88458368845840,63.11541631154160,2.9507666950766700,0.3013595000084020,0.019464875003905000,31.64573278799000,489.9462343567540,1.84375,1.84375,0,3688458,yes,
13,LZ4 -12,LZ4,ok,9999999,4232928,42.32928423292840,57.67071576707160,3.3863427386342700,0.1859356249915440,0.009416000000783240,51.29055935796010,1012.8230893792400,16.484375,14.3125,0,4232928,yes,